PGM_SYS_ID,REGISTRY_ID,FACILITY_NAME,CITY,COUNTY_NAME,STATE,ZIP_CODE,EPA_REGION,AIR_POLLUTANT_CLASS_CODE,AIR_POLLUTANT_CLASS_DESC,AIR_OPERATING_STATUS_CODE,AIR_OPERATING_STATUS_DESC,CURRENT_HPV
GA0000001306700091,110001766786,TESTRON INTERNATIONAL INC,MARIETTA,COBB,GA,30062,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001377700042,110040493695,TOMAHAWK RECYCLING,774 MCFARLAND RD,ALPHARETTA,GA,300047871,0,,MIN,Minor Emissions,Planned Facility,Planned Facility
GA00000013095DC009,110010339348,SWAN PROFESSIONAL DRY CLEANING,ALBANY,DOUGHERTY,GA,0,4,NAP,Not applicable,OPR,Operating,No Viol
GA0000001306900018,110064349753,HERCULES BLOCK CO,N/A,COFFEE,GA,31533,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001309500001,110001324237,VIKING DISTILLERY LLC,ALBANY,DOUGHERTY,GA,317052872,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001312100045,110043696676,USA FORT MCPHERSON,ATLANTA,FULTON,GA,30330,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001303700008,110001750604,SUNSHINE METAL PRODUCTS CO INC,ARLINGTON,CALHOUN,GA,39813,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001324700034,110007089006,COLUMN FABRICATION IN,CONYERS,ROCKDALE,GA,30012,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001305100072,110042025867,CARSON PRODUCTS CO,SAVANNAH,CHATHAM,GA,31405,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001325500046,110001423941,SOUTHEASTERN DOOR,GRIFFIN,SPALDING,GA,30223,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001304500038,110007355174,SOUTHWIRE COMPANY MACHINE SERVICES,CARROLLTON,CARROLL,GA,30119,4,MAJ,Major Emissions,CLS,Permanently Closed,No Viol
GA0000001312100378,110000788746,CRODA INKS CORP,ATLANTA,FULTON,GA,30315,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001324500162,110001388702,US BATTERY MFG CO OF AUGUSTA,AUGUSTA,RICHMOND,GA,309068825,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001309900002,110007045205,BIRDSONG PEANUT CO,BLAKELY,EARLY,GA,31723,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001310700022,110001418895,BOULINEAU'S CABINET S,SWAINSBORO,EMANUEL,GA,30401,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001331300121,110001419607,STOLER INDUSTRIES,DALTON,WHITFIELD,GA,30722,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001305100110,110041186873,IMPERIAL-SAVANNAH,201 OXNARD DRIVE ,PORT WENTWORTH,GA,31407,0,,MAJ,Major Emissions,Operating,Operating
GA0000001312900064,110007253603,GORDON COUNTY,CALHOUN,GORDON,GA,30701,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
040000001312140080,110000357934,REDDY ICE,EAST POINT,FULTON,GA,0,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001321300011,110001764476,GEORGIA CARPET FINISH,CHATSWORTH,MURRAY,GA,30705,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001308300013,110012143411,TRI STATE AGGREGATE,GULCH RD,TRENTON,GA,30752,0,,MIN,Minor Emissions,CLS,Permanently Closed
040000001321740269,110013435354,PURE AUTO CENTER,COVINGTON,NEWTON,GA,30014,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001312100853,110033134383,AMERICAN BUILDING SUPPLY,4475 SOUTH FULTON PKWY BLDG 6,UNION CITY,GA,30291,0,,MIN,Minor Emissions,Operating,Operating
GA0000001306700197,110005710551,SEIZ PRINTING,4525 ACWORTH INDUSTRIAL DR.,ACWORTH,GA,30101,0,,MIN,Minor Emissions,Operating,Operating
0400000013019EPA01,110030489692,BO LOVEIN FORD-MERCURY,NASHVILLE,BERRIEN,GA,31639,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001313500188,110038646463,NCR (RETAIL PRODS),DULUTH,GWINNETT,GA,30136,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001323300017,110001759972,ROME INDUSTRIES INC,CEDARTOWN,POLK,GA,0,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001304700003,110038656264,TRI-STATE STEEL DRUM,GRAYSVILLE,CATOOSA,GA,30726,4,MAJ,Major Emissions,CLS,Permanently Closed,No Viol
GA0000001308900228,110038642966,GENERAL CABLE CORP AP,LITHONIA,DEKALB,GA,30058,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001329500045,110011324352,VULCAN MATERIALS CO.,LAFAYETTE,WALKER,GA,30728,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001307300024,110038661301,REEVES CC INC. - APPLING HMAF,APPLING,COLUMBIA,GA,30802,4,SMI,Synthetic Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001321500150,110013437272,THE MEDICAL CENTER INC.,COLUMBUS,MUSCOGEE,GA,31901,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001305900089,110043323230,REEVES BODY SHOP,WINTERVILLE,CLARKE,GA,30683,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001313100025,110005686070,THOMAS OF CAIRO,CAIRO,GRADY,GA,39828,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001328300007,110046595635,EAST COAST ASPHALT,TARRYTOWN,TREUTLEN,GA,30457,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
GA0000001377700054,110038671247,SOUTHERN STATES COOPERATIVE,GEORGIA,UNDETERMINED,GA,0,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001308900402,110070106761,DECATUR GEORGIA SPI FABRICATION,DECATUR,DEKALB,GA,30334,4,MIN,Minor Emissions,OPR,Operating,No Viol
GA0000001323500027,110070072167,HYALUS,106 INDUSTRIAL BLVD,HAWKINSVILLE,GA,31036,0,,MAJ,Major Emissions,Operating,Operating
GA0000001328900013,110043686133,ADS RENEWABLE ENERGY-WOLF CREEK,DRY BRANCH,TWIGGS,GA,31020,4,MAJ,Major Emissions,OPR,Operating,No Viol
GA0000001313500120,110002011206,PERMATHERM,NORCROSS,GWINNETT,GA,30340,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001317500001,110038673496,LOVETT & BRINSON,DUBLIN,LAURENS,GA,31021,4,MIN,Minor Emissions,CLS,Permanently Closed,No Viol
GA0000001302100182,110001419661,COLUMBIA COLISEUM MED,MACON,BIBB,GA,31213,4,SMI,Synthetic Minor Emissions,OPR,Operating,No Viol
